Location_ID,Country,Sim_location,Weather_file,Same_City_Weather_file,,
L1,India,New Delhi,IND_NewDelhi.421820_ISHRAE_EDS,,,
L2,India,Ahmedabad,IND_Ahmedabad.426470_ISHRAE_EDS,,,
L3,India,Bengaluru,IND_Bangalore.432950_ISHRAE_EDS,,,
L4,India,Chennai,IND_Chennai.432790_ISHRAE_EDS,,,
L5,India,Hyderabad,IND_Hyderabad.431280_ISHRAE_EDS,,,
L6,India,Jaisalmer,IND_Jaisalmer.423280_ISHRAE_EDS,,,
L7,India,Kolkata,IND_Kolkata.428090_ISHRAE_EDS,,,
L8,India,Srinagar,IND_Srinagar.420270_ISHRAE2014,,,
L9,India,Mumbai,IND_Mumbai.430030_ISHRAE_EDS,,,
L10,India,Lucknow,IND_Lucknow.423690_ISHRAE_EDS,,,
L11,India,Pune,IND_Pune.430630_ISHRAE_EDS,,,
L12,India,Sholapur,IND_Sholapur.431170_ISHRAE_EDS,,,
L13,India,Tiruchirappalli,IND_Tiruchirapalli.433440_ISHRAE_EDS,,,
L14,India,Akola,IND_Akola.429340_ISHRAE_EDS,,,
L15,India,Jaipur,IND_Jaipur.423480_ISHRAE_EDS,,,
L16,India,Indore,IND_Indore.427540_ISHRAE_EDS,,,
L17,India,Guwahati,IND_Guwahati.424100_ISHRAE_EDS,,,
L18,India,Dehradun,IND_Dehradun.421110_ISHRAE_EDS,,,
L19,India,Bhubaneswar,IND_Bhubneshwar.429710_ISHRAE_EDS,,,
L20,India,Surat,IND_Surat.428400_ISHRAE_EDS,,,
L21,India,Raipur,IND_Raipur.428750_ISHRAE_EDS,,,
L22,India,Nagpur,IND_Nagpur.428670_ISHRAE_EDS,,,
L23,India,Visakhapatnam,IND_Vishakhapatnam.431500_ISHRAE_EDS,,,
L24,India,Shillong,IND_Shillong.425160_ISHRAE_EDS,,,
L25,India,Rajkot,IND_Rajkot.427370_ISHRAE_EDS,,,
L26,India,Ranchi,IND_Ranchi.427010_ISHRAE_EDS,,,
L27,India,Goa,IND_Goa.Panjim.431920_IWEC_EDS,,,
L28,United States of America,Atlanta,USA_GA_Atlanta_TMY2,,,
L29,United States of America,Boston,USA_MA_Boston_TMY2,,,
L30,United States of America,Chicago,USA_IL_Chicago_TMY2,,,
L31,United States of America,Dallas,USA_TX_Dallas_TMY2,,,
L32,United States of America,Denver,USA_CO_Denver_TMY2,,,
L33,United States of America,Honolulu,USA_HI_Honolulu_TMY2,,,
L34,United States of America,Houston,USA_TX_Houston_TMY2,,,
L35,United States of America,Las Vegas,USA_NV_Las_Vegas_TMY2,,,
L36,United States of America,Los Angeles,USA_CA_Los_Angeles_TMY2,,,
L37,United States of America,Miami,USA_FL_Miami_TMY2,,,
L38,United States of America,Minneapolis,USA_MN_Minneapolis_TMY2,,,
L39,United States of America,New York,USA_NY_New_York_TMY2,,,
L40,United States of America,Philadelphia,USA_PA_Philadelphia_TMY2,,,
L41,United States of America,Phoenix,USA_AZ_Phoenix_TMY2,,,
L42,United States of America,San Diego,USA_CA_San_Diego_TMY2,,,
L43,United States of America,San Francisco,USA_CA_San_Francisco_TMY2,,,
L44,United States of America,Seattle,USA_WA_Seattle_TMY2,,,
L45,United States of America,St. Louis,USA_MO_St_Louis_TMY2,,,
L46,United States of America,Washington DC,USA_DC_Washington_TMY2,AK_Anchorage_Elmendorf,,
L47,United States of America,Adak,AK_Adak_NAS,AK_Anchorage_Merrill_Fld,,
L48,United States of America,Ambler,AK_Ambler,,,
L49,United States of America,Anaktuvuk Pass,AK_Anaktuvuk_Pass,,,
L51,United States of America,Anchorage,AK_Anchorage_Intl_AP,,,
L53,United States of America,Aniak,AK_Aniak_Airport,,,
L54,United States of America,Annette Island,AK_Annette_Island_AP,AK_Anvik,,
L56,United States of America,Barrow,AK_Barrow_W_Post-W_Rogers,,,
L57,United States of America,Bethel,AK_Bethel_Airport,,,
L58,United States of America,Bettles,AK_Bettles_Field,,,
L59,United States of America,Big Delta,AK_Big_Delta_Allen_AAF,,,
L60,United States of America,Alaska,AK_Big_River_Lake,,,
L61,United States of America,Birchwood,AK_Birchwood,,,
L62,United States of America,Chulitna,AK_Chulitna,,,
L63,United States of America,Cold Bay,AK_Cold_Bay_Arpt,,,
L64,United States of America,Cordova,AK_Cordova,,,
L65,United States of America,Deadhorse,AK_Deadhorse,,,
L66,United States of America,Dillingham,AK_Dillingham_(AMOS),,,
L67,United States of America,Dutch Harbor,AK_Dutch_Harbor,,,
L68,United States of America,Emmonak,AK_Emmonak,,,
L70,United States of America,Fairbanks,AK_Fairbanks_Intl_Arpt,AK_Fairbanks_Eielson_A,,
L71,United States of America,Fort Yukon,AK_Fort_Yukon,,,
L72,United States of America,Gambell,AK_Gambell,,,
L73,United States of America,Gulkana,AK_Gulkana_Intermediate,,,
L74,United States of America,Gustavus,AK_Gustavus,,,
